dataset,formula,strategy,status,valid,steps,closed_branches,open_branches,max_depth,fresh_terms,time_ms
datasets/generated_large_propositional.fol,prop_identity_01,baseline,valid,True,2,1,0,1,0,0.067
datasets/generated_large_propositional.fol,prop_identity_01,improved,valid,True,2,1,0,1,0,0.035
datasets/generated_large_propositional.fol,prop_excluded_middle_01,baseline,valid,True,3,1,0,2,0,0.065
datasets/generated_large_propositional.fol,prop_excluded_middle_01,improved,valid,True,3,1,0,2,0,0.034
datasets/generated_large_propositional.fol,prop_and_comm_01,baseline,valid,True,5,2,0,3,0,0.073
datasets/generated_large_propositional.fol,prop_and_comm_01,improved,valid,True,5,2,0,3,0,0.061
datasets/generated_large_propositional.fol,prop_or_comm_01,baseline,valid,True,5,2,0,3,0,0.049
datasets/generated_large_propositional.fol,prop_or_comm_01,improved,valid,True,5,2,0,3,0,0.048
datasets/generated_large_propositional.fol,prop_invalid_strengthen_01,baseline,not proved,False,4,1,1,2,0,0.034
datasets/generated_large_propositional.fol,prop_invalid_strengthen_01,improved,not proved,False,4,1,1,2,0,0.034
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_01,baseline,not proved,False,5,1,1,3,0,0.077
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_01,improved,not proved,False,8,2,2,3,0,0.104
datasets/generated_large_propositional.fol,prop_identity_02,baseline,valid,True,2,1,0,1,0,0.021
datasets/generated_large_propositional.fol,prop_identity_02,improved,valid,True,2,1,0,1,0,0.023
datasets/generated_large_propositional.fol,prop_excluded_middle_02,baseline,valid,True,3,1,0,2,0,0.040
datasets/generated_large_propositional.fol,prop_excluded_middle_02,improved,valid,True,3,1,0,2,0,0.036
datasets/generated_large_propositional.fol,prop_and_comm_02,baseline,valid,True,5,2,0,3,0,0.073
datasets/generated_large_propositional.fol,prop_and_comm_02,improved,valid,True,5,2,0,3,0,0.050
datasets/generated_large_propositional.fol,prop_or_comm_02,baseline,valid,True,5,2,0,3,0,0.045
datasets/generated_large_propositional.fol,prop_or_comm_02,improved,valid,True,5,2,0,3,0,0.112
datasets/generated_large_propositional.fol,prop_invalid_strengthen_02,baseline,not proved,False,4,1,1,2,0,0.043
datasets/generated_large_propositional.fol,prop_invalid_strengthen_02,improved,not proved,False,4,1,1,2,0,0.046
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_02,baseline,not proved,False,5,1,1,3,0,0.050
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_02,improved,not proved,False,8,2,2,3,0,0.090
datasets/generated_large_propositional.fol,prop_identity_03,baseline,valid,True,2,1,0,1,0,0.013
datasets/generated_large_propositional.fol,prop_identity_03,improved,valid,True,2,1,0,1,0,0.013
datasets/generated_large_propositional.fol,prop_excluded_middle_03,baseline,valid,True,3,1,0,2,0,0.030
datasets/generated_large_propositional.fol,prop_excluded_middle_03,improved,valid,True,3,1,0,2,0,0.023
datasets/generated_large_propositional.fol,prop_and_comm_03,baseline,valid,True,5,2,0,3,0,0.046
datasets/generated_large_propositional.fol,prop_and_comm_03,improved,valid,True,5,2,0,3,0,0.047
datasets/generated_large_propositional.fol,prop_or_comm_03,baseline,valid,True,5,2,0,3,0,0.058
datasets/generated_large_propositional.fol,prop_or_comm_03,improved,valid,True,5,2,0,3,0,0.047
datasets/generated_large_propositional.fol,prop_invalid_strengthen_03,baseline,not proved,False,4,1,1,2,0,0.031
datasets/generated_large_propositional.fol,prop_invalid_strengthen_03,improved,not proved,False,4,1,1,2,0,0.032
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_03,baseline,not proved,False,5,1,1,3,0,0.048
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_03,improved,not proved,False,8,2,2,3,0,0.068
datasets/generated_large_propositional.fol,prop_identity_04,baseline,valid,True,2,1,0,1,0,0.013
datasets/generated_large_propositional.fol,prop_identity_04,improved,valid,True,2,1,0,1,0,0.012
datasets/generated_large_propositional.fol,prop_excluded_middle_04,baseline,valid,True,3,1,0,2,0,0.023
datasets/generated_large_propositional.fol,prop_excluded_middle_04,improved,valid,True,3,1,0,2,0,0.034
datasets/generated_large_propositional.fol,prop_and_comm_04,baseline,valid,True,5,2,0,3,0,0.048
datasets/generated_large_propositional.fol,prop_and_comm_04,improved,valid,True,5,2,0,3,0,0.056
datasets/generated_large_propositional.fol,prop_or_comm_04,baseline,valid,True,5,2,0,3,0,0.055
datasets/generated_large_propositional.fol,prop_or_comm_04,improved,valid,True,5,2,0,3,0,0.058
datasets/generated_large_propositional.fol,prop_invalid_strengthen_04,baseline,not proved,False,4,1,1,2,0,0.042
datasets/generated_large_propositional.fol,prop_invalid_strengthen_04,improved,not proved,False,4,1,1,2,0,0.045
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_04,baseline,not proved,False,5,1,1,3,0,0.058
datasets/generated_large_propositional.fol,prop_invalid_or_to_and_04,improved,not proved,False,8,2,2,3,0,0.104
datasets/generated_large_propositional.fol,prop_identity_05,baseline,valid,True,2,1,0,1,0,0.013
datasets/generated_large_propositional.fol,prop_identity_05,improved,valid,True,2,1,0,1,0,0.012
datasets/generated_large_propositional.fol,prop_excluded_middle_05,baseline,valid,True,3,1,0,2,0,0.023
datasets/generated_large_propositional.fol,prop_excluded_middle_05,improved,valid,True,3,1,0,2,0,0.023
datasets/generated_large_propositional.fol,prop_and_comm_05,baseline,valid,True,5,2,0,3,0,0.049
datasets/generated_large_propositional.fol,prop_and_comm_05,improved,valid,True,5,2,0,3,0,0.047
datasets/generated_large_propositional.fol,prop_or_comm_05,baseline,valid,True,5,2,0,3,0,0.044
datasets/generated_large_propositional.fol,prop_or_comm_05,improved,valid,True,5,2,0,3,0,0.050
