dataset,formula,strategy,status,valid,steps,closed_branches,open_branches,max_depth,fresh_terms,time_ms
datasets/generated_large_quantifier.fol,fo_forall_to_exists_01,baseline,not proved,False,11,0,1,10,8,0.946
datasets/generated_large_quantifier.fol,fo_forall_to_exists_01,improved,valid,True,6,1,1,4,2,0.238
datasets/generated_large_quantifier.fol,fo_exists_weaken_01,baseline,valid,True,5,1,0,4,2,0.230
datasets/generated_large_quantifier.fol,fo_exists_weaken_01,improved,valid,True,5,1,0,4,2,0.154
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_01,baseline,not proved,False,12,0,1,11,10,0.756
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_01,improved,step/depth limit,False,101,0,47,11,36,6.712
datasets/generated_large_quantifier.fol,fo_and_split_01,baseline,valid,True,10,2,0,5,6,0.338
datasets/generated_large_quantifier.fol,fo_and_split_01,improved,valid,True,10,2,0,5,6,0.375
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_01,baseline,not proved,False,4,0,1,3,3,0.108
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_01,improved,not proved,False,6,0,2,3,4,0.108
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_01,baseline,not proved,False,12,0,1,11,9,0.863
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_01,improved,step/depth limit,False,101,0,37,18,69,10.352
datasets/generated_large_quantifier.fol,fo_forall_to_exists_02,baseline,not proved,False,11,0,1,10,8,0.553
datasets/generated_large_quantifier.fol,fo_forall_to_exists_02,improved,valid,True,6,1,1,4,2,0.160
datasets/generated_large_quantifier.fol,fo_exists_weaken_02,baseline,valid,True,5,1,0,4,2,0.145
datasets/generated_large_quantifier.fol,fo_exists_weaken_02,improved,valid,True,5,1,0,4,2,0.150
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_02,baseline,not proved,False,12,0,1,11,10,0.770
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_02,improved,step/depth limit,False,101,0,47,11,36,6.287
datasets/generated_large_quantifier.fol,fo_and_split_02,baseline,valid,True,10,2,0,5,6,0.323
datasets/generated_large_quantifier.fol,fo_and_split_02,improved,valid,True,10,2,0,5,6,0.380
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_02,baseline,not proved,False,4,0,1,3,3,0.074
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_02,improved,not proved,False,6,0,2,3,4,0.098
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_02,baseline,not proved,False,12,0,1,11,9,0.738
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_02,improved,step/depth limit,False,101,0,37,18,69,10.447
datasets/generated_large_quantifier.fol,fo_forall_to_exists_03,baseline,not proved,False,11,0,1,10,8,0.594
datasets/generated_large_quantifier.fol,fo_forall_to_exists_03,improved,valid,True,6,1,1,4,2,0.159
datasets/generated_large_quantifier.fol,fo_exists_weaken_03,baseline,valid,True,5,1,0,4,2,0.148
datasets/generated_large_quantifier.fol,fo_exists_weaken_03,improved,valid,True,5,1,0,4,2,0.191
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_03,baseline,not proved,False,12,0,1,11,10,0.711
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_03,improved,step/depth limit,False,101,0,47,11,36,6.298
datasets/generated_large_quantifier.fol,fo_and_split_03,baseline,valid,True,10,2,0,5,6,0.364
datasets/generated_large_quantifier.fol,fo_and_split_03,improved,valid,True,10,2,0,5,6,0.377
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_03,baseline,not proved,False,4,0,1,3,3,0.071
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_03,improved,not proved,False,6,0,2,3,4,0.119
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_03,baseline,not proved,False,12,0,1,11,9,0.773
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_03,improved,step/depth limit,False,101,0,37,18,69,11.268
datasets/generated_large_quantifier.fol,fo_forall_to_exists_04,baseline,not proved,False,11,0,1,10,8,0.876
datasets/generated_large_quantifier.fol,fo_forall_to_exists_04,improved,valid,True,6,1,1,4,2,0.185
datasets/generated_large_quantifier.fol,fo_exists_weaken_04,baseline,valid,True,5,1,0,4,2,0.147
datasets/generated_large_quantifier.fol,fo_exists_weaken_04,improved,valid,True,5,1,0,4,2,0.148
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_04,baseline,not proved,False,12,0,1,11,10,0.842
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_04,improved,step/depth limit,False,101,0,47,11,36,6.689
datasets/generated_large_quantifier.fol,fo_and_split_04,baseline,valid,True,10,2,0,5,6,0.316
datasets/generated_large_quantifier.fol,fo_and_split_04,improved,valid,True,10,2,0,5,6,0.366
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_04,baseline,not proved,False,4,0,1,3,3,0.108
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_04,improved,not proved,False,6,0,2,3,4,0.122
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_04,baseline,not proved,False,12,0,1,11,9,0.768
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_04,improved,step/depth limit,False,101,0,37,18,69,11.076
datasets/generated_large_quantifier.fol,fo_forall_to_exists_05,baseline,not proved,False,11,0,1,10,8,0.661
datasets/generated_large_quantifier.fol,fo_forall_to_exists_05,improved,valid,True,6,1,1,4,2,0.202
datasets/generated_large_quantifier.fol,fo_exists_weaken_05,baseline,valid,True,5,1,0,4,2,0.146
datasets/generated_large_quantifier.fol,fo_exists_weaken_05,improved,valid,True,5,1,0,4,2,0.231
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_05,baseline,not proved,False,12,0,1,11,10,0.985
datasets/generated_large_quantifier.fol,fo_exists_forall_to_forall_exists_05,improved,step/depth limit,False,101,0,47,11,36,7.136
datasets/generated_large_quantifier.fol,fo_and_split_05,baseline,valid,True,10,2,0,5,6,0.316
datasets/generated_large_quantifier.fol,fo_and_split_05,improved,valid,True,10,2,0,5,6,0.321
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_05,baseline,not proved,False,4,0,1,3,3,0.070
datasets/generated_large_quantifier.fol,fo_invalid_exists_to_forall_05,improved,not proved,False,6,0,2,3,4,0.104
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_05,baseline,not proved,False,12,0,1,11,9,0.897
datasets/generated_large_quantifier.fol,fo_invalid_exists_swap_05,improved,step/depth limit,False,101,0,37,18,69,10.706
datasets/generated_large_quantifier.fol,fo_forall_to_exists_06,baseline,not proved,False,11,0,1,10,8,0.579
datasets/generated_large_quantifier.fol,fo_forall_to_exists_06,improved,valid,True,6,1,1,4,2,0.211
datasets/generated_large_quantifier.fol,fo_exists_weaken_06,baseline,valid,True,5,1,0,4,2,0.162
