dataset,formula,strategy,status,valid,steps,closed_branches,open_branches,max_depth,fresh_terms,time_ms
datasets/generated_large_medium.fol,medium_transitivity_01,baseline,valid,True,8,3,0,5,0,0.192
datasets/generated_large_medium.fol,medium_transitivity_01,improved,valid,True,8,3,0,5,0,0.132
datasets/generated_large_medium.fol,medium_distrib_valid_01,baseline,valid,True,10,4,0,6,0,0.147
datasets/generated_large_medium.fol,medium_distrib_valid_01,improved,valid,True,10,4,0,6,0,0.166
datasets/generated_large_medium.fol,medium_demorgan_valid_01,baseline,valid,True,8,2,0,5,0,0.114
datasets/generated_large_medium.fol,medium_demorgan_valid_01,improved,valid,True,8,2,0,5,0,0.109
datasets/generated_large_medium.fol,medium_case_valid_01,baseline,valid,True,10,4,0,6,0,0.128
datasets/generated_large_medium.fol,medium_case_valid_01,improved,valid,True,10,4,0,6,0,0.139
datasets/generated_large_medium.fol,medium_invalid_converse_01,baseline,not proved,False,4,0,1,3,0,0.054
datasets/generated_large_medium.fol,medium_invalid_converse_01,improved,not proved,False,6,0,2,3,0,0.069
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_01,baseline,not proved,False,8,1,1,5,0,0.101
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_01,improved,not proved,False,17,2,5,5,0,0.172
datasets/generated_large_medium.fol,medium_transitivity_02,baseline,valid,True,8,3,0,5,0,0.093
datasets/generated_large_medium.fol,medium_transitivity_02,improved,valid,True,8,3,0,5,0,0.129
datasets/generated_large_medium.fol,medium_distrib_valid_02,baseline,valid,True,10,4,0,6,0,0.123
datasets/generated_large_medium.fol,medium_distrib_valid_02,improved,valid,True,10,4,0,6,0,0.133
datasets/generated_large_medium.fol,medium_demorgan_valid_02,baseline,valid,True,8,2,0,5,0,0.097
datasets/generated_large_medium.fol,medium_demorgan_valid_02,improved,valid,True,8,2,0,5,0,0.102
datasets/generated_large_medium.fol,medium_case_valid_02,baseline,valid,True,10,4,0,6,0,0.123
datasets/generated_large_medium.fol,medium_case_valid_02,improved,valid,True,10,4,0,6,0,0.148
datasets/generated_large_medium.fol,medium_invalid_converse_02,baseline,not proved,False,4,0,1,3,0,0.050
datasets/generated_large_medium.fol,medium_invalid_converse_02,improved,not proved,False,6,0,2,3,0,0.065
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_02,baseline,not proved,False,8,1,1,5,0,0.111
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_02,improved,not proved,False,17,2,5,5,0,0.191
datasets/generated_large_medium.fol,medium_transitivity_03,baseline,valid,True,8,3,0,5,0,0.100
datasets/generated_large_medium.fol,medium_transitivity_03,improved,valid,True,8,3,0,5,0,0.103
datasets/generated_large_medium.fol,medium_distrib_valid_03,baseline,valid,True,10,4,0,6,0,0.122
datasets/generated_large_medium.fol,medium_distrib_valid_03,improved,valid,True,10,4,0,6,0,0.133
datasets/generated_large_medium.fol,medium_demorgan_valid_03,baseline,valid,True,8,2,0,5,0,0.095
datasets/generated_large_medium.fol,medium_demorgan_valid_03,improved,valid,True,8,2,0,5,0,0.099
datasets/generated_large_medium.fol,medium_case_valid_03,baseline,valid,True,10,4,0,6,0,0.123
datasets/generated_large_medium.fol,medium_case_valid_03,improved,valid,True,10,4,0,6,0,0.155
datasets/generated_large_medium.fol,medium_invalid_converse_03,baseline,not proved,False,4,0,1,3,0,0.051
datasets/generated_large_medium.fol,medium_invalid_converse_03,improved,not proved,False,6,0,2,3,0,0.065
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_03,baseline,not proved,False,8,1,1,5,0,0.096
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_03,improved,not proved,False,17,2,5,5,0,0.166
datasets/generated_large_medium.fol,medium_transitivity_04,baseline,valid,True,8,3,0,5,0,0.089
datasets/generated_large_medium.fol,medium_transitivity_04,improved,valid,True,8,3,0,5,0,0.104
datasets/generated_large_medium.fol,medium_distrib_valid_04,baseline,valid,True,10,4,0,6,0,0.119
datasets/generated_large_medium.fol,medium_distrib_valid_04,improved,valid,True,10,4,0,6,0,0.131
datasets/generated_large_medium.fol,medium_demorgan_valid_04,baseline,valid,True,8,2,0,5,0,0.095
datasets/generated_large_medium.fol,medium_demorgan_valid_04,improved,valid,True,8,2,0,5,0,0.121
datasets/generated_large_medium.fol,medium_case_valid_04,baseline,valid,True,10,4,0,6,0,0.121
datasets/generated_large_medium.fol,medium_case_valid_04,improved,valid,True,10,4,0,6,0,0.133
datasets/generated_large_medium.fol,medium_invalid_converse_04,baseline,not proved,False,4,0,1,3,0,0.050
datasets/generated_large_medium.fol,medium_invalid_converse_04,improved,not proved,False,6,0,2,3,0,0.064
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_04,baseline,not proved,False,8,1,1,5,0,0.094
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_04,improved,not proved,False,17,2,5,5,0,0.167
datasets/generated_large_medium.fol,medium_transitivity_05,baseline,valid,True,8,3,0,5,0,0.090
datasets/generated_large_medium.fol,medium_transitivity_05,improved,valid,True,8,3,0,5,0,0.102
datasets/generated_large_medium.fol,medium_distrib_valid_05,baseline,valid,True,10,4,0,6,0,0.121
datasets/generated_large_medium.fol,medium_distrib_valid_05,improved,valid,True,10,4,0,6,0,0.163
datasets/generated_large_medium.fol,medium_demorgan_valid_05,baseline,valid,True,8,2,0,5,0,0.098
datasets/generated_large_medium.fol,medium_demorgan_valid_05,improved,valid,True,8,2,0,5,0,0.102
datasets/generated_large_medium.fol,medium_case_valid_05,baseline,valid,True,10,4,0,6,0,0.133
datasets/generated_large_medium.fol,medium_case_valid_05,improved,valid,True,10,4,0,6,0,0.137
datasets/generated_large_medium.fol,medium_invalid_converse_05,baseline,not proved,False,4,0,1,3,0,0.060
datasets/generated_large_medium.fol,medium_invalid_converse_05,improved,not proved,False,6,0,2,3,0,0.066
datasets/generated_large_medium.fol,medium_invalid_demorgan_reverse_05,baseline,not proved,False,8,1,1,5,0,0.095
